,neg_sent,neu_sent,pos_sent,Topic0,Topic1,Topic2,Topic3,y_3,y_7,y_30,y_90
186,0.024,0.8140000000000001,0.162,0.96,0.01,0.02,0.01,False,False,False,True
187,0.015,0.8170000000000001,0.16899999999999998,0.96,0.01,0.02,0.01,True,True,True,False
188,0.015,0.818,0.168,0.96,0.01,0.01,0.01,True,True,False,True
189,0.017,0.8340000000000001,0.14800000000000002,0.96,0.01,0.01,0.01,False,False,True,False
190,0.02,0.809,0.171,0.96,0.01,0.02,0.01,False,True,True,True
191,0.019,0.821,0.16,0.96,0.01,0.02,0.01,True,False,False,False
192,0.015,0.8320000000000001,0.153,0.95,0.02,0.02,0.02,True,True,True,True
193,0.011000000000000001,0.82,0.16899999999999998,0.96,0.01,0.02,0.01,False,False,False,False
194,0.024,0.841,0.136,0.95,0.02,0.02,0.02,False,False,False,False
195,0.023,0.8440000000000001,0.133,0.02,0.02,0.94,0.02,False,False,False,True
196,0.023,0.8390000000000001,0.138,0.02,0.02,0.95,0.02,False,True,True,True
197,0.022000000000000002,0.816,0.162,0.02,0.02,0.95,0.02,False,True,True,True
198,0.024,0.8390000000000001,0.136,0.01,0.01,0.96,0.01,True,False,False,False
199,0.025,0.802,0.17300000000000001,0.02,0.02,0.95,0.02,False,True,True,True
200,0.022000000000000002,0.841,0.138,0.02,0.02,0.95,0.02,False,False,False,False
201,0.026000000000000002,0.797,0.177,0.02,0.02,0.94,0.02,True,True,True,True
202,0.026000000000000002,0.8220000000000001,0.152,0.02,0.02,0.95,0.02,False,True,True,False
203,0.032,0.7959999999999999,0.172,0.95,0.02,0.02,0.02,False,False,False,False
204,0.018000000000000002,0.843,0.139,0.96,0.01,0.01,0.01,False,False,True,True
205,0.025,0.8420000000000001,0.133,0.96,0.01,0.02,0.01,True,True,False,False
206,0.022000000000000002,0.8240000000000001,0.154,0.95,0.02,0.02,0.02,True,True,True,False
207,0.021,0.84,0.14,0.95,0.02,0.02,0.02,False,False,False,False
208,0.017,0.7979999999999999,0.185,0.94,0.02,0.02,0.02,False,False,False,False
209,0.025,0.8220000000000001,0.153,0.95,0.02,0.02,0.02,False,True,False,True
210,0.024,0.856,0.11900000000000001,0.95,0.02,0.02,0.02,True,True,True,False
211,0.012,0.851,0.13699999999999998,0.96,0.01,0.01,0.01,False,False,False,True
212,0.012,0.83,0.158,0.96,0.01,0.01,0.01,False,False,False,False
213,0.026000000000000002,0.867,0.107,0.5,0.01,0.47,0.01,False,True,False,False
214,0.013000000000000001,0.8440000000000001,0.14300000000000002,0.02,0.01,0.95,0.01,False,False,True,False
215,0.013999999999999999,0.8220000000000001,0.16399999999999998,0.15,0.02,0.82,0.02,True,True,True,False
216,0.02,0.8290000000000001,0.151,0.02,0.02,0.95,0.02,True,False,False,False
217,0.018000000000000002,0.836,0.145,0.02,0.02,0.95,0.02,True,True,True,True
218,0.01,0.885,0.105,0.02,0.02,0.95,0.02,False,False,False,False
219,0.018000000000000002,0.8340000000000001,0.14800000000000002,0.02,0.01,0.95,0.01,True,False,False,False
220,0.009000000000000001,0.813,0.17800000000000002,0.01,0.01,0.96,0.01,True,True,True,False
221,0.023,0.8420000000000001,0.135,0.02,0.01,0.96,0.01,True,True,False,True
222,0.02,0.875,0.105,0.01,0.01,0.96,0.01,True,True,False,True
223,0.025,0.831,0.14400000000000002,0.01,0.01,0.96,0.01,True,True,True,True
224,0.017,0.8240000000000001,0.159,0.96,0.01,0.01,0.01,True,False,True,False
225,0.019,0.81,0.171,0.96,0.01,0.01,0.01,False,True,False,False
226,0.034,0.81,0.155,0.96,0.01,0.01,0.01,True,False,False,False
227,0.019,0.8220000000000001,0.159,0.96,0.01,0.01,0.01,True,False,False,False
228,0.019,0.825,0.157,0.96,0.01,0.01,0.01,True,False,False,False
229,0.013999999999999999,0.8190000000000001,0.16699999999999998,0.96,0.01,0.01,0.01,True,True,False,False
230,0.023,0.8220000000000001,0.155,0.95,0.01,0.02,0.01,True,True,True,False
231,0.034,0.862,0.10400000000000001,0.96,0.01,0.01,0.01,True,True,True,False
232,0.013000000000000001,0.841,0.147,0.96,0.01,0.01,0.01,True,True,False,False
233,0.033,0.815,0.152,0.94,0.02,0.02,0.02,False,True,True,True
234,0.017,0.8029999999999999,0.18,0.92,0.02,0.03,0.02,True,True,True,True
235,0.022000000000000002,0.825,0.154,0.93,0.02,0.02,0.02,False,True,True,True
236,0.027000000000000003,0.825,0.14800000000000002,0.93,0.02,0.02,0.02,False,False,False,True
237,0.03,0.8109999999999999,0.159,0.96,0.01,0.01,0.01,True,True,True,True
238,0.019,0.852,0.129,0.96,0.01,0.01,0.01,False,False,True,True
